cust_id,country,cust_name,cust_type
CUST-00062,ID,Indra Permata,Silver
CUST-00063,MY,Azlan Zainal,Silver
CUST-00064,ID,Putri Lestari,Gold
CUST-00065,MY,Farah Salleh,Regular
CUST-00066,ID,Wulan Mahendra,Silver
CUST-00067,ID,Cahyo Wibowo,Gold
CUST-00068,MY,Syafiq Rahman,Regular
CUST-00069,MY,Aina Idris,Regular
CUST-00070,MY,Khairul Hisyam,Regular
CUST-00071,ID,Eka Gunawan,Silver
CUST-00072,SG,Chua Jia Hui,Silver
CUST-00073,ID,Ayu Wibowo,Gold
CUST-00074,ID,Rina Mahendra,Gold
CUST-00075,ID,Sari Nuraini,Regular
CUST-00076,ID,Dewi Mahendra,Regular
CUST-00077,ID,Dwi Nugroho,Silver
CUST-00078,ID,Rizki Rahmawati,Gold
CUST-00079,MY,Syafiq Salleh,Gold
CUST-00080,MY,Hafiz Razak,Regular
CUST-00081,ID,Cahyo Tjahyono,Gold
CUST-00082,MY,Aina Rahman,Regular
CUST-00083,ID,Bambang Siregar,Regular
CUST-00084,ID,Rina Ramadhani,Regular
CUST-00085,MY,Nabila Idris,Regular
CUST-00086,ID,Ayu Nuraini,Silver
CUST-00087,ID,Bambang Ramadhani,Regular
CUST-00088,ID,Bambang Ramadhani,Regular
CUST-00089,SG,Chua Sarah,Silver
CUST-00090,ID,Eka Siregar,Regular
CUST-00091,SG,Toh Wei Ming,Gold
CUST-00092,MY,Farah Nasir,Silver
CUST-00093,ID,Putri Tjahyono,Regular
CUST-00094,ID,Yoga Wibowo,Gold
CUST-00095,MY,Farah Razak,Regular
CUST-00096,MY,Faiz Idris,Regular
CUST-00097,MY,Haziq Hisyam,Gold
CUST-00098,ID,Agus Santoso,Gold
CUST-00099,ID,Fajar Siregar,Platinum
CUST-00100,ID,Ayu Saputra,Regular
CUST-00101,ID,Sari Permata,Silver
CUST-00102,MY,Hakim Rahman,Silver
CUST-00103,ID,Ayu Wibowo,Regular
CUST-00104,ID,Indra Nugroho,Regular
CUST-00105,ID,Wulan Utami,Regular
CUST-00106,ID,Rina Saputra,Silver
CUST-00107,ID,Rizki Mahendra,Regular
CUST-00108,MY,Hafiz Latif,Regular
CUST-00109,MY,Ahmad Aziz,Silver
CUST-00110,ID,Yoga Siregar,Gold
CUST-00111,SG,Chua Hui Min,Gold
CUST-00112,ID,Putri Utami,Regular
CUST-00113,MY,Farah Latif,Silver
CUST-00114,ID,Bambang Pratama,Gold
CUST-00115,MY,Khairul Ismail,Silver
CUST-00116,ID,Rizki Permata,Regular
CUST-00117,MY,Azlan Basri,Gold
CUST-00118,SG,Teo Daniel,Silver
CUST-00119,ID,Eka Permata,Silver
CUST-00120,ID,Sari Siregar,Regular
CUST-00121,ID,Fajar Siregar,Regular
CUST-00122,ID,Rudi Santoso,Regular
CUST-00123,MY,Amir Idris,Regular
CUST-00124,ID,Sari Permata,Regular
CUST-00125,MY,Faiz Basri,Gold
CUST-00126,MY,Nurul Basri,Gold
CUST-00127,ID,Yoga Halim,Regular
CUST-00128,ID,Andi Wijaya,Gold
CUST-00129,ID,Rina Hidayat,Platinum
CUST-00130,ID,Anisa Wijaya,Silver
CUST-00131,MY,Ahmad Zainal,Regular
CUST-00132,ID,Anisa Gunawan,Regular
CUST-00133,ID,Nur Tjahyono,Regular
CUST-00134,ID,Wulan Lestari,Regular
CUST-00135,SG,Lau Nicholas,Gold
CUST-00136,SG,Toh Daniel,Regular
CUST-00137,ID,Rina Nuraini,Silver
CUST-00138,SG,Teo Wei Ming,Regular
CUST-00139,ID,Andi Utami,Regular
CUST-00140,SG,Lee Rachel,Regular
CUST-00141,ID,Bambang Hidayat,Regular
CUST-00142,ID,Dewi Tjahyono,Regular
CUST-00143,ID,Dwi Mahendra,Platinum
CUST-00144,MY,Siti Hisyam,Regular
CUST-00145,MY,Hanis Othman,Silver
CUST-00146,ID,Wulan Mahendra,Regular
CUST-00147,SG,Goh Rachel,Silver
CUST-00148,ID,Wulan Mahendra,Gold
CUST-00149,MY,Aisyah Jamal,Regular
CUST-00150,ID,Dewi Mahendra,Regular
CUST-00151,MY,Faiz Latif,Regular
CUST-00152,MY,Zulkifli Salleh,Regular
CUST-00153,ID,Agus Ramadhani,Regular
CUST-00154,ID,Dwi Gunawan,Gold
CUST-00155,ID,Nur Wibowo,Gold
CUST-00156,ID,Indra Nuraini,Regular
CUST-00157,ID,Anisa Siregar,Silver
CUST-00158,ID,Rina Nugroho,Regular
CUST-00159,ID,Fajar Permata,Gold
CUST-00160,ID,Wulan Halim,Regular
CUST-00161,ID,Anisa Tjahyono,Regular
CUST-00162,ID,Rina Ramadhani,Silver
CUST-00163,ID,Nur Pamungkas,Silver
CUST-00164,ID,Rudi Siregar,Silver
CUST-00165,SG,Koh Yi Ling,Regular
CUST-00166,ID,Sari Nuraini,Regular
CUST-00167,ID,Yoga Halim,Silver
CUST-00168,ID,Rina Ramadhani,Silver
CUST-00169,SG,Lau Natalie,Gold
CUST-00170,MY,Aisyah Abdullah,Regular
CUST-00171,ID,Cahyo Lestari,Silver
CUST-00172,MY,Izzat Aziz,Regular
CUST-00173,MY,Nabila Roslan,Regular
CUST-00174,ID,Rina Nuraini,Gold
CUST-00175,ID,Nur Rahmawati,Regular
CUST-00176,ID,Putri Siregar,Gold
CUST-00177,ID,Rina Nuraini,Regular
CUST-00178,ID,Agus Pratama,Silver
CUST-00179,ID,Wulan Sutanto,Platinum
CUST-00180,ID,Fajar Santoso,Regular
CUST-00181,ID,Putri Ramadhani,Regular
CUST-00182,ID,Sari Halim,Regular
CUST-00183,ID,Cahyo Tjahyono,Regular
CUST-00184,ID,Andi Nugroho,Gold
CUST-00185,ID,Fajar Halim,Regular
CUST-00186,MY,Hanis Latif,Regular
CUST-00187,ID,Dwi Wibowo,Regular
CUST-00188,MY,Azlan Latif,Silver
CUST-00189,ID,Ayu Lestari,Silver
CUST-00190,MY,Hafiz Aziz,Silver
CUST-00191,ID,Anisa Utami,Gold
CUST-00192,ID,Putri Siregar,Regular
CUST-00193,ID,Sari Permata,Silver
CUST-00194,ID,Anisa Wijaya,Regular
CUST-00195,MY,Mohd Idris,Gold
CUST-00196,SG,Chan Jun Jie,Regular
CUST-00197,ID,Anisa Gunawan,Regular
CUST-00198,MY,Hanis Kamal,Platinum
CUST-00199,ID,Putri Pratama,Gold
CUST-00200,ID,Sari Halim,Silver
CUST-00201,ID,Nur Saputra,Gold
CUST-00202,ID,Rizki Tjahyono,Regular
CUST-00203,MY,Khairul Zainal,Regular
CUST-00204,ID,Putri Utami,Regular
CUST-00205,MY,Nabila Aziz,Gold
CUST-00206,SG,Quek Daniel,Gold
CUST-00207,MY,Nurul Basri,Regular
CUST-00208,ID,Putri Wijaya,Regular
CUST-00209,MY,Faiz Jamal,Gold
CUST-00210,ID,Indra Sutanto,Silver
CUST-00211,ID,Bambang Hidayat,Silver
CUST-00212,ID,Nur Saputra,Regular
CUST-00213,ID,Rina Wibowo,Regular
CUST-00214,ID,Putri Lestari,Regular
CUST-00215,MY,Khairul Othman,Regular
CUST-00216,ID,Rina Mahendra,Regular
CUST-00217,ID,Cahyo Santoso,Silver
CUST-00218,ID,Wulan Gunawan,Regular
CUST-00219,MY,Hanis Hassan,Regular
CUST-00220,MY,Mohd Aziz,Silver
CUST-00221,ID,Rina Siregar,Regular
CUST-00222,ID,Bambang Pamungkas,Regular
CUST-00223,ID,Andi Santoso,Regular
CUST-00224,ID,Putri Lestari,Silver
CUST-00225,SG,Teo Sarah,Regular
CUST-00226,ID,Fajar Hidayat,Silver
CUST-00227,ID,Indra Lestari,Regular
CUST-00228,ID,Dewi Pamungkas,Regular
CUST-00229,MY,Aisyah Hisyam,Platinum
CUST-00230,ID,Dwi Halim,Regular
CUST-00231,MY,Ahmad Nasir,Regular
CUST-00232,ID,Bambang Lestari,Regular
CUST-00233,SG,Chew Nicholas,Regular
CUST-00234,ID,Cahyo Nugroho,Silver
CUST-00235,ID,Eka Pratama,Regular
CUST-00236,ID,Putri Pratama,Regular
CUST-00237,ID,Nur Halim,Gold
CUST-00238,MY,Syafiq Basri,Regular
CUST-00239,MY,Nabila Roslan,Silver
CUST-00240,ID,Anisa Nuraini,Silver
CUST-00241,MY,Siti Jamal,Silver
CUST-00242,MY,Hakim Roslan,Regular
CUST-00243,ID,Rina Saputra,Regular
CUST-00244,MY,Aina Hisyam,Regular
CUST-00245,ID,Sari Pratama,Gold
CUST-00246,ID,Fajar Tjahyono,Platinum
CUST-00247,ID,Ayu Saputra,Regular
CUST-00248,ID,Rizki Halim,Silver
CUST-00249,ID,Andi Wibowo,Gold
CUST-00250,ID,Sari Wibowo,Silver
CUST-00251,ID,Anisa Sutanto,Gold
CUST-00252,ID,Indra Nuraini,Regular
CUST-00253,SG,Goh Li Ting,Silver
CUST-00254,ID,Wulan Gunawan,Regular
CUST-00255,ID,Agus Halim,Silver
CUST-00256,ID,Nur Sutanto,Regular
CUST-00257,SG,Chew Rachel,Regular
CUST-00258,ID,Rina Hidayat,Silver
CUST-00259,ID,Agus Rahmawati,Regular
CUST-00260,ID,Anisa Rahmawati,Regular
CUST-00261,ID,Ayu Wibowo,Silver
CUST-00262,ID,Wulan Tjahyono,Regular
CUST-00263,ID,Ayu Permata,Regular
CUST-00264,ID,Rina Mahendra,Regular
CUST-00265,ID,Cahyo Sutanto,Regular
CUST-00266,ID,Dwi Sutanto,Regular
CUST-00267,ID,Rudi Siregar,Regular
CUST-00268,ID,Wulan Permata,Gold
CUST-00269,ID,Andi Gunawan,Platinum
CUST-00270,MY,Aina Kamal,Silver
CUST-00271,SG,Yeo Sarah,Gold
CUST-00272,SG,Ong Jing Yi,Regular
CUST-00273,ID,Ayu Ramadhani,Silver
CUST-00274,MY,Hanis Nasir,Regular
CUST-00275,ID,Ayu Santoso,Silver
CUST-00276,MY,Syafiq Roslan,Silver
CUST-00277,ID,Yoga Sutanto,Regular
CUST-00278,MY,Farah Shah,Regular
CUST-00279,ID,Rizki Tjahyono,Regular
CUST-00280,ID,Putri Mahendra,Regular
CUST-00281,MY,Haziq Salleh,Silver
CUST-00282,ID,Nur Tjahyono,Regular
CUST-00283,ID,Dewi Permata,Gold
CUST-00284,ID,Dewi Saputra,Gold
CUST-00285,SG,Tan Natalie,Silver
CUST-00286,ID,Cahyo Wibowo,Silver
CUST-00287,ID,Eka Wijaya,Silver
CUST-00288,ID,Fajar Permata,Regular
CUST-00289,MY,Zulkifli Othman,Gold
CUST-00290,ID,Sari Rahmawati,Silver
CUST-00291,MY,Mohd Ismail,Silver
CUST-00292,ID,Anisa Saputra,Regular
CUST-00293,ID,Sari Santoso,Gold
CUST-00294,ID,Eka Siregar,Regular
CUST-00295,ID,Ayu Pratama,Regular
CUST-00296,ID,Agus Tjahyono,Regular
CUST-00297,ID,Eka Lestari,Regular
CUST-00298,MY,Mohd Aziz,Gold
CUST-00299,ID,Agus Wijaya,Regular
CUST-00300,ID,Rizki Mahendra,Gold
CUST-00301,MY,Syafiq Nasir,Silver
CUST-00302,MY,Khairul Shah,Silver
CUST-00303,MY,Hakim Shah,Silver
CUST-00304,ID,Wulan Rahmawati,Gold
CUST-00305,ID,Dwi Saputra,Gold
CUST-00306,ID,Eka Tjahyono,Silver
CUST-00307,ID,Rina Utami,Regular
CUST-00308,ID,Eka Saputra,Regular
CUST-00309,ID,Cahyo Mahendra,Regular
CUST-00310,ID,Rudi Siregar,Regular
CUST-00311,ID,Dwi Hidayat,Regular
CUST-00312,ID,Agus Halim,Silver
CUST-00313,ID,Rina Santoso,Silver
CUST-00314,ID,Yoga Nuraini,Regular
CUST-00315,MY,Hafiz Hisyam,Regular
CUST-00316,ID,Eka Saputra,Gold
CUST-00317,SG,Ong Jun Jie,Silver
CUST-00318,ID,Cahyo Utami,Silver
CUST-00319,ID,Agus Wijaya,Regular
CUST-00320,ID,Wulan Pamungkas,Regular
CUST-00321,ID,Andi Hidayat,Regular
CUST-00322,ID,Fajar Nuraini,Regular
CUST-00323,ID,Eka Lestari,Regular
CUST-00324,MY,Hafiz Razak,Regular
CUST-00325,MY,Zulkifli Aziz,Regular
CUST-00326,SG,Tan Yi Ling,Gold
CUST-00327,ID,Andi Utami,Gold
CUST-00328,ID,Dewi Wijaya,Regular
CUST-00329,ID,Sari Tjahyono,Silver
CUST-00330,ID,Wulan Nuraini,Silver
CUST-00331,MY,Hakim Roslan,Silver
CUST-00332,ID,Rizki Ramadhani,Regular
CUST-00333,ID,Eka Siregar,Regular
CUST-00334,ID,Ayu Nugroho,Regular
CUST-00335,ID,Bambang Halim,Regular
CUST-00336,ID,Fajar Nuraini,Regular
CUST-00337,ID,Anisa Pamungkas,Silver
CUST-00338,ID,Rizki Wibowo,Regular
CUST-00339,MY,Hafiz Hisyam,Regular
CUST-00340,ID,Rina Santoso,Regular
CUST-00341,ID,Anisa Wibowo,Silver
CUST-00342,ID,Bambang Wibowo,Gold
CUST-00343,MY,Ahmad Hisyam,Gold
CUST-00344,ID,Anisa Wibowo,Regular
CUST-00345,ID,Rina Mahendra,Regular
CUST-00346,ID,Rina Pamungkas,Regular
CUST-00347,MY,Ahmad Salleh,Regular
CUST-00348,ID,Agus Gunawan,Silver
CUST-00349,ID,Andi Santoso,Silver
CUST-00350,ID,Eka Gunawan,Silver
CUST-00351,ID,Rina Saputra,Regular
CUST-00352,ID,Fajar Rahmawati,Regular
CUST-00353,ID,Rina Tjahyono,Regular
CUST-00354,ID,Agus Gunawan,Silver
CUST-00355,ID,Cahyo Permata,Regular
CUST-00356,ID,Rina Nugroho,Regular
CUST-00357,ID,Bambang Rahmawati,Silver
CUST-00358,ID,Wulan Wijaya,Silver
CUST-00359,MY,Farah Roslan,Regular
CUST-00360,ID,Rina Siregar,Gold
CUST-00361,ID,Agus Sutanto,Regular
CUST-00362,ID,Ayu Halim,Regular
CUST-00363,SG,Lee Wei Ming,Regular
CUST-00364,MY,Amir Zainal,Regular
CUST-00365,ID,Cahyo Halim,Regular
CUST-00366,ID,Anisa Permata,Regular
CUST-00367,MY,Siti Jamal,Silver
CUST-00368,ID,Ayu Rahmawati,Silver
CUST-00369,ID,Fajar Nuraini,Platinum
CUST-00370,SG,Goh Wei Ming,Regular
CUST-00371,MY,Nabila Halim,Regular
CUST-00372,MY,Haziq Jamal,Silver
CUST-00373,ID,Rudi Permata,Regular
CUST-00374,MY,Farah Abdullah,Regular
CUST-00375,MY,Khairul Shah,Silver
CUST-00376,SG,Quek Natalie,Regular
CUST-00377,SG,Lim Natalie,Silver
CUST-00378,MY,Khairul Rahman,Silver
CUST-00379,MY,Faiz Ismail,Silver
CUST-00380,MY,Aina Roslan,Regular
CUST-00381,ID,Nur Pratama,Regular
CUST-00382,ID,Dwi Santoso,Gold
CUST-00383,MY,Nabila Latif,Regular
CUST-00384,ID,Andi Hidayat,Regular
CUST-00385,ID,Anisa Utami,Regular
CUST-00386,SG,Quek Aaron,Regular
CUST-00387,MY,Nurul Idris,Silver
CUST-00388,MY,Ahmad Othman,Regular
CUST-00389,ID,Andi Permata,Gold
CUST-00390,ID,Bambang Nuraini,Regular
CUST-00391,ID,Sari Wijaya,Silver
CUST-00392,MY,Farah Roslan,Silver
CUST-00393,MY,Amir Roslan,Silver
CUST-00394,MY,Syafiq Salleh,Silver
CUST-00395,ID,Sari Halim,Regular
CUST-00396,SG,Toh Jing Yi,Regular
CUST-00397,ID,Rudi Permata,Regular
CUST-00398,ID,Rina Tjahyono,Regular
CUST-00399,ID,Dewi Pratama,Gold
CUST-00400,SG,Koh Mei Ling,Regular
CUST-00401,MY,Nabila Nasir,Regular
CUST-00402,ID,Indra Pratama,Regular
CUST-00403,ID,Dewi Sutanto,Regular
CUST-00404,ID,Andi Utami,Regular
CUST-00405,ID,Fajar Utami,Regular
CUST-00406,MY,Azlan Abdullah,Platinum
CUST-00407,ID,Yoga Siregar,Regular
CUST-00408,MY,Aisyah Razak,Regular
CUST-00409,ID,Eka Gunawan,Regular
CUST-00410,SG,Chua Mei Ling,Regular
CUST-00411,ID,Dwi Mahendra,Regular
CUST-00412,ID,Yoga Gunawan,Gold
CUST-00413,ID,Rina Santoso,Silver
CUST-00414,ID,Anisa Siregar,Silver
CUST-00415,ID,Ayu Pamungkas,Silver
CUST-00416,SG,Goh Yi Ling,Silver
CUST-00417,ID,Dwi Saputra,Silver
CUST-00418,ID,Yoga Saputra,Silver
CUST-00419,ID,Dwi Wibowo,Platinum
CUST-00420,MY,Khairul Kamal,Gold
CUST-00421,MY,Haziq Hisyam,Gold
CUST-00422,ID,Indra Wijaya,Regular
CUST-00423,MY,Nadia Yusof,Regular
CUST-00424,ID,Agus Nuraini,Silver
CUST-00425,ID,Dewi Gunawan,Platinum
CUST-00426,MY,Azlan Shah,Regular
CUST-00427,ID,Rina Permata,Regular
CUST-00428,ID,Sari Siregar,Silver
CUST-00429,ID,Indra Rahmawati,Regular
CUST-00430,SG,Lim Jun Jie,Regular
CUST-00431,MY,Faiz Jamal,Silver
CUST-00432,MY,Haziq Roslan,Regular
CUST-00433,MY,Aina Aziz,Regular
CUST-00434,ID,Andi Rahmawati,Gold
CUST-00435,MY,Amir Nasir,Regular
CUST-00436,ID,Eka Siregar,Silver
CUST-00437,SG,Koh Jing Yi,Regular
CUST-00438,ID,Rudi Sutanto,Regular
CUST-00439,ID,Ayu Ramadhani,Regular
CUST-00440,MY,Nadia Razak,Silver
CUST-00441,ID,Indra Saputra,Regular
CUST-00442,ID,Putri Halim,Regular
CUST-00443,SG,Lee Aaron,Regular
CUST-00444,SG,Koh Sarah,Platinum
CUST-00445,ID,Andi Nuraini,Regular
CUST-00446,ID,Rina Rahmawati,Regular
CUST-00447,ID,Agus Wijaya,Silver
CUST-00448,MY,Ahmad Zainal,Regular
CUST-00449,ID,Rina Saputra,Silver
CUST-00450,ID,Wulan Saputra,Regular
CUST-00451,ID,Andi Wijaya,Regular
CUST-00452,MY,Siti Razak,Regular
CUST-00453,ID,Yoga Lestari,Silver
CUST-00454,ID,Andi Hidayat,Regular
CUST-00455,ID,Anisa Nugroho,Platinum
CUST-00456,MY,Azlan Nasir,Platinum
CUST-00457,ID,Eka Gunawan,Regular
CUST-00458,MY,Hakim Salleh,Regular
CUST-00459,ID,Yoga Utami,Regular
CUST-00460,ID,Fajar Wibowo,Silver
CUST-00461,ID,Bambang Utami,Gold
CUST-00462,SG,Ong Hui Min,Silver
CUST-00463,ID,Agus Sutanto,Regular
CUST-00464,SG,Koh Hui Min,Gold
CUST-00465,ID,Cahyo Tjahyono,Gold
CUST-00466,ID,Agus Mahendra,Platinum
CUST-00467,ID,Rudi Nugroho,Regular
CUST-00468,ID,Agus Nuraini,Silver
CUST-00469,ID,Bambang Ramadhani,Regular
CUST-00470,ID,Agus Gunawan,Gold
CUST-00471,ID,Agus Utami,Regular
CUST-00472,ID,Anisa Wibowo,Platinum
CUST-00473,ID,Putri Pratama,Platinum
CUST-00474,ID,Rudi Nuraini,Regular
CUST-00475,MY,Khairul Jamal,Silver
CUST-00476,ID,Anisa Hidayat,Gold
CUST-00477,ID,Rina Mahendra,Regular
CUST-00478,SG,Chan Mei Ling,Regular
CUST-00479,MY,Zulkifli Zainal,Regular
CUST-00480,ID,Cahyo Saputra,Regular
CUST-00481,ID,Dewi Pratama,Gold
CUST-00482,ID,Nur Permata,Regular
CUST-00483,ID,Eka Rahmawati,Regular
CUST-00484,SG,Goh Jun Jie,Gold
CUST-00485,ID,Cahyo Gunawan,Silver
CUST-00486,ID,Andi Mahendra,Regular
CUST-00487,ID,Dewi Wijaya,Gold
CUST-00488,ID,Putri Ramadhani,Regular
CUST-00489,ID,Eka Halim,Regular
CUST-00490,ID,Sari Mahendra,Regular
CUST-00491,ID,Fajar Ramadhani,Regular
CUST-00492,SG,Chan Nicholas,Regular
CUST-00493,MY,Hakim Hassan,Regular
CUST-00494,ID,Dwi Hidayat,Regular
CUST-00495,MY,Ahmad Othman,Regular
CUST-00496,SG,Chew Sarah,Silver
CUST-00497,ID,Yoga Siregar,Regular
CUST-00498,ID,Yoga Tjahyono,Silver
CUST-00499,SG,Lau Jing Yi,Silver
CUST-00500,ID,Eka Saputra,Regular
CUST-00501,SG,Chua Chloe,Silver
CUST-00502,ID,Putri Wibowo,Regular
CUST-00503,ID,Rizki Mahendra,Gold
CUST-00504,ID,Rina Pratama,Regular
CUST-00505,ID,Wulan Tjahyono,Gold
CUST-00506,MY,Farah Abdullah,Platinum
CUST-00507,ID,Fajar Hidayat,Regular
CUST-00508,ID,Rudi Utami,Regular
CUST-00509,ID,Rina Mahendra,Silver
CUST-00510,MY,Mohd Ismail,Gold
CUST-00511,MY,Hafiz Othman,Regular
CUST-00512,ID,Dwi Mahendra,Regular
CUST-00513,MY,Khairul Othman,Regular
CUST-00514,ID,Yoga Siregar,Gold
CUST-00515,ID,Fajar Rahmawati,Regular
CUST-00516,ID,Putri Halim,Regular
CUST-00517,MY,Amir Ismail,Gold
CUST-00518,ID,Cahyo Gunawan,Silver
CUST-00519,ID,Putri Halim,Regular
CUST-00520,ID,Rina Tjahyono,Regular
CUST-00521,ID,Agus Halim,Platinum
CUST-00522,ID,Sari Nugroho,Regular
CUST-00523,ID,Andi Hidayat,Gold
CUST-00524,MY,Azlan Kamal,Platinum
CUST-00525,MY,Siti Basri,Regular
CUST-00526,ID,Putri Sutanto,Regular
CUST-00527,ID,Bambang Utami,Gold
CUST-00528,MY,Nurul Abdullah,Regular
CUST-00529,ID,Rizki Hidayat,Silver
CUST-00530,ID,Dewi Hidayat,Silver
CUST-00531,ID,Anisa Nugroho,Silver
CUST-00532,MY,Izzat Razak,Regular
CUST-00533,ID,Fajar Saputra,Regular
CUST-00534,ID,Agus Rahmawati,Regular
CUST-00535,SG,Goh Jun Jie,Regular
CUST-00536,MY,Amir Yusof,Regular
CUST-00537,ID,Rizki Pamungkas,Regular
CUST-00538,ID,Rudi Halim,Regular
CUST-00539,ID,Rina Wibowo,Silver
CUST-00540,ID,Eka Rahmawati,Regular
CUST-00541,ID,Rizki Tjahyono,Silver
CUST-00542,ID,Bambang Pamungkas,Regular
CUST-00543,ID,Andi Santoso,Regular
CUST-00544,MY,Nurul Idris,Silver
CUST-00545,ID,Anisa Gunawan,Silver
CUST-00546,ID,Yoga Halim,Regular
CUST-00547,ID,Dwi Utami,Silver
CUST-00548,ID,Rudi Siregar,Platinum
CUST-00549,MY,Ahmad Shah,Regular
CUST-00550,ID,Rina Permata,Gold
CUST-00551,ID,Dewi Permata,Regular
CUST-00552,MY,Aisyah Hassan,Regular
CUST-00553,ID,Ayu Nuraini,Regular
CUST-00554,MY,Hanis Othman,Regular
CUST-00555,MY,Nadia Roslan,Regular
CUST-00556,ID,Rizki Tjahyono,Regular
CUST-00557,ID,Indra Nuraini,Regular
CUST-00558,ID,Ayu Ramadhani,Regular
CUST-00559,ID,Indra Hidayat,Silver
CUST-00560,ID,Cahyo Utami,Silver
CUST-00561,ID,Yoga Hidayat,Regular
CUST-00562,MY,Azlan Nasir,Gold
CUST-00563,MY,Siti Zainal,Silver
CUST-00564,ID,Cahyo Lestari,Silver
CUST-00565,ID,Rizki Wijaya,Gold
CUST-00566,MY,Aisyah Ismail,Regular
CUST-00567,ID,Indra Permata,Regular
CUST-00568,ID,Nur Saputra,Silver
CUST-00569,ID,Wulan Sutanto,Regular
CUST-00570,ID,Rina Gunawan,Silver
CUST-00572,ID,Indra Nuraini,Regular
CUST-00573,MY,Aina Othman,Silver
CUST-00574,MY,Siti Salleh,Regular
CUST-00575,ID,Sari Nugroho,Regular
CUST-00576,ID,Putri Gunawan,Silver
CUST-00577,MY,Amir Zainal,Gold
CUST-00578,SG,Goh Sarah,Regular
CUST-00579,ID,Indra Wijaya,Platinum
CUST-00580,ID,Cahyo Nugroho,Platinum
CUST-00581,ID,Wulan Nuraini,Regular
CUST-00582,ID,Anisa Hidayat,Gold
CUST-00583,ID,Indra Utami,Platinum
CUST-00584,MY,Syafiq Shah,Regular
CUST-00585,ID,Cahyo Ramadhani,Silver
CUST-00586,MY,Nurul Idris,Silver
CUST-00587,ID,Ayu Sutanto,Gold
CUST-00588,ID,Bambang Hidayat,Silver
CUST-00589,ID,Bambang Permata,Silver
CUST-00590,MY,Aisyah Abdullah,Regular
CUST-00591,ID,Rizki Utami,Regular
CUST-00592,ID,Rina Nuraini,Regular
CUST-00593,MY,Hanis Yusof,Regular
CUST-00594,MY,Hanis Nasir,Regular
CUST-00595,ID,Anisa Santoso,Gold
CUST-00596,ID,Nur Saputra,Regular
CUST-00597,SG,Lim Jing Yi,Silver
CUST-00598,ID,Nur Nuraini,Regular
CUST-00599,MY,Azlan Idris,Regular
CUST-00600,ID,Cahyo Nugroho,Silver
CUST-00601,ID,Fajar Saputra,Regular
CUST-00602,ID,Dewi Pamungkas,Regular
CUST-00603,ID,Rina Nuraini,Regular
CUST-00604,MY,Nabila Ismail,Regular
